Suburb,Address,Rooms,Type,Price,Distance,Bathroom,Car,Landsize,BuildingArea,YearBuilt,Lattitude,Longtitude,CouncilArea
Brighton,119 North Rd,4,u,1850000,2.8,2,1,0,213,1938,-37.8177,144.9544,Melbourne City Council
Brighton,686A Hampton St,4,u,640000,2.8,1,1,0,66,2005,-37.8106,144.9646,Melbourne City Council
Brighton,17 Rusden St,4,u,386000,2.8,1,0,0,64,1976,-37.8127,144.9627,Melbourne City Council
Brighton East,7 Balfour St,4,u,659000,2.8,1,1,0,59,2006,-37.8157,144.9727,Melbourne City Council
Brighton East,12 Meyer Ct,4,u,450000,2.8,1,0,0,57,1960,-37.8178,144.9607,Melbourne City Council
Brighton East,5 Margaret St,2,u,750000,2.8,2,1,0,122,1998,-37.8095,144.9691,Melbourne City Council
Brighton East,1 Alexander St,3,u,680000,2.8,1,2,0,102,1965,-37.8132,144.9545,Melbourne City Council
Brighton East,50 Lucas St,5,u,733000,2.8,2,1,0,94,1965,-37.8166,144.9635,Melbourne City Council
Brighton East,3 Carrington Gr,5,u,760000,2.8,2,1,0,89,1997,-37.8095,144.9691,Melbourne City Council
Brighton East,5 Arnot St,3,u,360000,2.8,1,1,1136,69,2009,-37.8211,144.9559,Melbourne City Council
Brighton East,214 Were St,4,u,660000,1.9,2,1,0,100,1998,-37.8118,144.9526,Melbourne City Council
Brunswick,29 Stewart St,4,t,1120000,1.9,3,1,801,122,2008,-37.8067,144.9435,Melbourne City Council
Brunswick,9/15 De Carle St,1,h,1230000,3.1,1,1,133,124,1880,-37.80814,144.94506,Melbourne City Council
Brunswick,129 Albion St,4,t,1013000,1.9,2,1,0,130,2010,-37.8094,144.9452,Melbourne City Council
Brunswick,39 Eveline St,3,u,595000,1.2,1,1,0,75,1998,-37.8288,144.9679,Melbourne City Council
Brunswick,2/12 Jones St,2,u,580000,1.2,1,1,0,79,1995,-37.8273,144.9685,Melbourne City Council
Brunswick,14 Murdock St,3,u,868000,1.2,2,1,0,114,1995,-37.8267,144.9687,Melbourne City Council
Brunswick,30 Charles St,4,u,600000,1.2,2,1,0,99,1995,-37.828,144.9683,Melbourne City Council
Brunswick,84 Stewart St,3,u,425000,1.2,1,1,0,57,2004,-37.8245,144.9622,Melbourne City Council
Brunswick,393A Brunswick Rd,3,u,740000,1.2,2,1,0,105,1994,-37.828,144.9683,Melbourne City Council
